id,pval_(Intercept),adj.pvalue,pval_sig,LogFC_(Intercept),LogFC (Higher is Higher in Spring)
d__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Rice_Cluster_I,0.931146506,3.34E-138,1,-0.010737259,3.607983034
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__uncultured,0.931146506,2.74E-147,1,-0.010737259,5.00112211
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiales;g__uncultured,0.931146506,1.44E-149,1,-0.010737259,4.10509966
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea,0.931146506,1.64E-55,1,-0.010737259,3.387289109
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula,0.931146506,0,1,-0.010737259,6.307939845
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanoperedenaceae;g__Candidatus_Methanoperedens,0.931146506,1.52E-06,1,-0.010737259,1.641631197
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta,0.931146506,3.68E-62,1,-0.010737259,5.315857775
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanosarcina,0.931146506,7.02E-40,1,-0.010737259,3.818726433
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Candidatus_Iainarchaeum,0.931146506,0.50120448,0,-0.010737259,0.286239968
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Iainarchaeales,0.931146506,0.489168247,0,-0.010737259,0.421395005
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__CG1-02-32-21;g__CG1-02-32-21,0.931146506,0.174044526,0,-0.010737259,1.036670568
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeales;g__Micrarchaeales,0.931146506,3.83E-19,1,-0.010737259,2.594689831
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;__;__,0.931146506,1.95E-06,1,-0.010737259,2.807710419
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-57-44;g__CG1-02-57-44,0.931146506,1.43E-05,1,-0.010737259,1.114542185
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011;g__AR15,0.931146506,4.89E-14,1,-0.010737259,3.75511831
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011_GWC1_47_15;g__GW2011_GWC1_47_15,0.931146506,4.10E-13,1,-0.010737259,3.441234165
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5,0.931146506,3.03E-30,1,-0.010737259,2.747569788
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales,4.13E-28,1.05E-20,1,1.183769053,3.222732124
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;__;__;__,0.931146506,0.424391919,0,-0.010737259,-0.311013188
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1,1.01E-19,1.57E-04,1,3.867274837,2.198610802
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II,0.931146506,0.580660298,0,-0.010737259,-0.236632004
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus,0.931146506,0.078311552,0,-0.010737259,1.804198932
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__uncultured,0.931146506,9.43E-66,1,-0.010737259,4.352362649
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__uncultured;g__uncultured,0.931146506,1.10E-62,1,-0.010737259,6.083635875
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmata;f__Thermoplasmata;g__Marine_Group_III,0.001371727,1.97E-07,1,1.235152613,-2.019001181
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__uncultured;f__uncultured;g__uncultured,0.931146506,5.72E-75,1,-0.010737259,4.063044599
d__Bacteria;__;__;__;__;__,2.09E-30,6.44E-04,1,5.007504799,1.491897885
d__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium,0.931146506,0.841492761,0,-0.010737259,0.151084932
d__Bacteria;p__Acetothermia;c__Acetothermiia;o__Acetothermiia;f__Acetothermiia;g__Acetothermiia,0.931146506,3.49E-41,1,-0.010737259,1.874579597
d__Bacteria;p__Acidobacteriota;__;__;__;__,0.188122007,0.002661258,1,0.721670933,1.841998366
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;__;__;__,0.931146506,1.56E-165,1,-0.010737259,4.376784012
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum,0.931146506,1.57E-75,1,-0.010737259,3.517551147
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;__;__,0.931146506,4.43E-08,1,-0.010737259,2.356941625
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);__,0.931146506,2.64E-33,1,-0.010737259,3.034044643
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Granulicella,0.931146506,0.146046815,0,-0.010737259,1.030770709
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__uncultured,0.931146506,2.39E-69,1,-0.010737259,3.264757498
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriales;g__Acidobacteriales,0.931146506,0.970300503,0,-0.010737259,0.026187116
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus_Koribacter,0.931146506,2.01E-77,1,-0.010737259,3.799877564
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__uncultured,0.931146506,1.48E-42,1,-0.010737259,5.39263789
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__AKIW659;f__AKIW659;g__AKIW659,0.931146506,3.51E-181,1,-0.010737259,4.500469995
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter,0.931146506,0,1,-0.010737259,6.093478239
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Elev-16S-1166;f__Elev-16S-1166;g__Elev-16S-1166,0.931146506,0.401628992,0,-0.010737259,-0.311013188
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__GOUTB8;f__GOUTB8;g__GOUTB8,0.931146506,1.63E-51,1,-0.010737259,4.567796168
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f;f__PAUC26f;g__PAUC26f,0.931146506,0.9128596,0,-0.010737259,0.081871811
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter,0.931146506,0,1,-0.010737259,5.710267141
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_12;f__Subgroup_12;g__Subgroup_12,0.931146506,2.90E-35,1,-0.010737259,3.283323665
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_13;f__Subgroup_13;g__Subgroup_13,0.931146506,3.54E-52,1,-0.010737259,3.536497749
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2,0.931146506,1.50E-116,1,-0.010737259,6.499610416
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__TSBb06;f__TSBb06;g__TSBb06,0.931146506,1.31E-21,1,-0.010737259,2.90453946
d__Bacteria;p__Acidobacteriota;c__Acidobacteriota;o__Acidobacteriota;f__Acidobacteriota;g__Acidobacteriota,0.931146506,6.57E-27,1,-0.010737259,3.654453664
d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantales;g__Aminicenantales,5.88E-141,0.332885027,0,6.182754563,0.270237561
d__Bacteria;p__Acidobacteriota;c__AT-s3-28;o__AT-s3-28;f__AT-s3-28;g__AT-s3-28,0.005322625,0.007962916,1,2.42252853,-2.609123941
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;__;__;__,0.931146506,0.711765699,0,-0.010737259,-0.175858152
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24;g__11-24,0.931146506,0.9394593,0,-0.010737259,0.055190908
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter,0.931146506,0.950044655,0,-0.010737259,-0.040703116
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella,0.191749531,0.011991241,1,0.84424586,-1.628094427
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__uncultured,0.931146506,0.424391919,0,-0.010737259,-0.311013188
d__Bacteria;p__Acidobacteriota;c__d142;o__d142;f__d142;g__d142,0.037362876,3.11E-04,1,1.062221349,-1.846069917
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;__,0.931146506,1.65E-16,1,-0.010737259,2.744031405
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__uncultured,0.931146506,0.754359969,0,-0.010737259,0.257236176
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7,0.183219474,9.61E-05,1,0.586515897,1.827897573
d__Bacteria;p__Acidobacteriota;c__Subgroup_11;o__Subgroup_11;f__Subgroup_11;g__Subgroup_11,0.931146506,1.64E-08,1,-0.010737259,2.9754987
d__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18;g__Subgroup_18,0.007496641,0.001160472,1,3.426423671,4.179057448
d__Bacteria;p__Acidobacteriota;c__Subgroup_21;o__Subgroup_21;f__Subgroup_21;g__Subgroup_21,2.93E-14,6.67E-19,1,4.584724578,-5.368573146
d__Bacteria;p__Acidobacteriota;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22,0,1.47E-05,1,4.122703665,-0.968863201
d__Bacteria;p__Acidobacteriota;c__Subgroup_26;o__Subgroup_26;f__Subgroup_26;g__Subgroup_26,0.185197103,0.003257653,1,0.637899457,-1.421748025
d__Bacteria;p__Acidobacteriota;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5;g__Subgroup_5,0.193175621,0.007693637,1,0.987840165,2.117962727
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10,2.08E-24,6.80E-33,1,4.429717755,-5.213566323
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_23,3.70E-160,8.57E-198,1,5.949385733,-6.733234301
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Thermoanaerobaculum,0.179705967,0.00180233,1,0.586515897,-1.370364465
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__TPD-58,0.931146506,0.219373398,0,-0.010737259,0.838982661
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17,0,6.86E-11,1,5.498264813,-1.389863452
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_9;f__Subgroup_9;g__Subgroup_9,0,0,1,5.258222339,-6.042070907
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured,0.075907473,0.004866904,1,1.703150593,2.701855274
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;__,0.191325241,0.01536057,1,0.913458981,-1.697307549
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Luteitalea,0.202135853,0.054766769,0,1.546872352,-2.33072092
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae,0.931146506,1.75E-18,1,-0.010737259,2.663072885
d__Bacteria;p__Actinobacteriota;__;__;__;__,0.007464109,0.325023689,0,1.567995557,0.65696172
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;__;__;__,0.931146506,0.89708968,0,-0.010737259,-0.079964128
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Candidatus_Actinomarina,0.931146506,0.298790405,0,-0.010737259,1.249697221
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured;g__uncultured,2.96E-57,8.70E-72,1,6.025461125,-6.809309693
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256;g__IMCC26256,0.006373328,0.822684821,0,2.855643332,0.244273145
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;__;__,0.01940671,8.85E-04,1,1.847912442,-2.631761009
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Iamia,0.931146506,0.935169271,0,-0.010737259,0.055190908
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group,0.931146506,0.9128596,0,-0.010737259,0.081871811
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter,0.205152262,0.066384136,0,1.743492804,-2.527341371
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__uncultured,0.931146506,0.857049942,0,-0.010737259,0.129572092
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__IMCC26207,0.204496737,0.06219619,0,1.666075381,-2.449923949
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__Sva0996_marine_group,0.006996564,0.016676326,1,3.032486897,-3.0488071
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__uncultured,0.201882198,0.047229965,1,1.410156033,-2.194004601
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured;g__uncultured,0.024721497,0.130041989,0,2.897006499,-2.145798338
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured;g__uncultured,0.188571865,0.010175113,1,0.817564957,-1.601413525
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__;__,0.005149498,1.52E-04,1,2.204726246,-2.988574813
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0.931146506,2.41E-74,1,-0.010737259,2.577352086
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella,0.931146506,0.44748322,0,-0.010737259,1.252004035
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,0.931146506,0,1,-0.010737259,7.067538627
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae;g__Dietzia,0.931146506,1.32E-05,1,-0.010737259,2.817084705
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,1.33E-57,6.05E-05,1,5.360851111,-3.988282906
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus,0.181990449,0.45935765,0,0.637899457,-0.6224496
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae;g__uncultured,0.205152262,0.066384136,0,1.743492804,-2.527341371
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;__;__,0.931146506,0.89708968,0,-0.010737259,-0.079964128
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Acidothermaceae;g__Acidothermus,0.931146506,3.79E-19,1,-0.010737259,2.173893462
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus,0.931146506,0.992709905,0,-0.010737259,-0.005582944
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__hgcI_clade,0.931146506,0.198411672,0,-0.010737259,0.997957351
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Longivirga,0.931146506,0.297436115,0,-0.010737259,0.652444065
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium,0.931146506,0.596562404,0,-0.010737259,-0.236632004
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Helcobacillus,0.931146506,2.68E-26,1,-0.010737259,1.850277341
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;__,0.202928387,0.994571822,0,1.503694335,0.008307955
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Oryzihumus,0.931146506,1.04E-14,1,-0.010737259,2.210831584
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Phycicoccus,0.931146506,0.860665452,0,-0.010737259,0.129572092
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__,0.931146506,0.819807272,0,-0.010737259,0.190345944
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter,0.931146506,9.00E-38,1,-0.010737259,1.752083576
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__,0.1992735,0.124144271,0,1.318924089,1.729085952
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria,0.931146506,0.145137138,0,-0.010737259,1.032255492
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus,0.931146506,6.86E-49,1,-0.010737259,2.625918548
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia,0.931146506,0.256294932,0,-0.010737259,0.799721649
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Promicromonospora,0.931146506,0.992927966,0,-0.010737259,-0.005582944
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Luedemannella,0.931146506,0.762854294,0,-0.010737259,0.27205343
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora,0.199845249,0.043423597,1,1.359554029,-2.143402596
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15;g__PeM15,0.181990449,0.003038977,1,0.637899457,-1.421748025
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides,0.192330018,0.688833382,0,0.952719993,0.474537583
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;__,0.931146506,5.51E-46,1,-0.010737259,2.434813242
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium,0.931146506,5.45E-120,1,-0.010737259,3.770667921
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__uncultured,0.931146506,0.9128596,0,-0.010737259,0.081871811
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;__,0.931146506,0.857049942,0,-0.010737259,0.129572092
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;__,0.931146506,0.136226535,0,-0.010737259,1.093029345
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinoallomurus,0.931146506,0.993428473,0,-0.010737259,-0.005582944
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura,0.931146506,0.496268137,0,-0.010737259,0.286239968
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__CG2-30-50-142;f__CG2-30-50-142;g__CG2-30-50-142,1.20E-07,6.23E-04,1,2.256727662,-2.347429049
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium,0.931146506,2.46E-12,1,-0.010737259,3.93533717
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,0.931146506,0.329097718,0,-0.010737259,0.591670212
